Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
62,c,2,danielspaangberg_5760of30030_epar,281569,5.00541,12,wheel,yes,1,4687.74453
63,rust,1,mike-barber_bit-striped-hybrid-blocks16k,23194,5.00013,1,base,yes,1,4638.67923
64,c,3,fvbakel_Cstriped-block,22227,5.00015,1,base,yes,1,4445.26575
65,crystal,2,GordonBGood_stride8-rblock16K,21384,5.00007,1,base,yes,1,4276.73585
66,csharp,4,italytoast-stride8-blocks32k,21269,5.00011,1,base,yes,1,4253.70642
67,julia,4,GordonBGood_stride8block16k,21267,5.00010,1,base,yes,1,4253.31583
68,csharp,4,italytoast-stride8-blocks16k,20773,5.00012,1,base,yes,1,4154.50029
69,csharp,1,kinematics_poolq30m,20392,5.00002,1,other,yes,1,4078.38369
70,go,2,ssovest-go-stride-u32,20333,5.00075,1,base,yes,1,4065.99009
71,c,2,danielspaangberg_480of2310_epar,237162,5.00086,12,wheel,yes,1,3952.01709
72,chapel,1,GordonBGood_extreme,19712,5.00002,1,base,yes,1,3942.38423
73,csharp,4,italytoast-stride8-blocks64k,19710,5.00009,1,base,yes,1,3941.92905
74,c,2,danielspaangberg_8of30,19686,5.00020,1,wheel,yes,1,3937.04016
75,haskell,2,GordonBGood_stride8-block16K,19506,5.00015,1,base,yes,1,3901.08234
76,rust,7,sergiocks,19087,5.00012,1,wheel,yes,8,3817.31157
77,cpp,4,BlackMark-5760of30030-os-hs-inv_vec<u8>-clang,18912,5.00005,1,wheel,yes,8,3782.36218
78,java,4,chrvanorleStrided32Blocks16k,18714,5.00000,1,base,yes,1,3742.80000
79,zig,3,89-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-sieve-u8-92160of510510-no-ht,107863,5.00015,6,wheel,yes,8,3595.32547
80,cpp,4,BlackMark-1of2-cs-hs-inv_arr<bool>-gcc,17811,5.00003,1,base,yes,8,3562.17863
81,basic,3,Nukepayload2_ReDim8of30M,17762,5.00003,1,wheel,yes,1,3552.37563
82,assemblyscript,2,maxgraey_unrolled,17734,5.00000,1,base,yes,1,3546.80000
83,zig,2,ManDeJan&ityonemo-zig-byte-sieve-type-bool,17607,5.00006,1,base,no,8,3521.35774
84,fortran,2,tjol-8bit,17565,5.00013,1,base,yes,8,3512.90586
85,swift,1,yellowcub_striped_UInt8,17556,5.00005,1,base,yes,1,3511.16559
86,cython,1,rpkak+byte-array,17531,5.00027,1,base,yes,8,3506.01364
87,nim,3,GordonBGood_stride8,17481,5.00016,1,base,yes,1,3496.08639
88,cpp,4,BlackMark-1of2-bs-hs-vec<u8>-gcc,17431,5.00003,1,base,yes,8,3486.17908
89,cpp,4,BlackMark-1of2-cs-hs-inv_stridedbits<u8>-gcc,17337,5.00030,1,base,yes,1,3467.19197
90,cpp,4,BlackMark-1of2-cs-hs-inv_arr<bool>-clang,17334,5.00011,1,base,yes,8,3466.72373
91,amd64,1,dacvs8,17206,5.00003,1,base,yes,8,3441.18142
92,basic,3,Nukepayload2_ArrayPool8of30M,17138,5.00023,1,wheel,yes,1,3427.44316
93,haskell,2,GordonBGood_stride8,17036,5.00019,1,base,yes,1,3407.07300
94,csharp,4,italytoast-stride8,17034,5.00017,1,base,yes,1,3406.68417
95,julia,4,GordonBGood_stride8,17001,5.00018,1,base,yes,1,3400.07694
96,fsharp,4,GordonBGood_unpeeled,16842,5.00020,1,base,yes,1,3368.26460
